#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,3.121712,-0.916368
-2.057576,-0.800463,3.214145,-0.878552
-2.015152,-0.705422,3.302947,-0.828065
-1.972727,-0.608347,3.388183,-0.765704
-1.930303,-0.509183,3.469917,-0.692242
-1.887879,-0.407874,3.548215,-0.608440
-1.845454,-0.304368,3.623142,-0.515041
-1.803030,-0.198617,3.694763,-0.412772
-1.760606,-0.090572,3.763142,-0.302338
-1.718182,0.019807,3.828345,-0.184433
-1.675758,0.132558,3.890436,-0.059731
-1.633333,0.247712,3.949478,0.071111
-1.590909,0.365292,4.005537,0.207451
-1.548485,0.485314,4.058676,0.348668
-1.506061,0.607785,4.108961,0.494153
-1.463636,0.732699,4.156452,0.643319
-1.421212,0.860039,4.201217,0.795591
-1.378788,0.989775,4.243318,0.950416
-1.336364,1.121859,4.282818,1.107255
-1.293939,1.256226,4.319780,1.265586
-1.251515,1.392794,4.354269,1.424905
-1.209091,1.531457,4.386347,1.584725
-1.166667,1.672086,4.416077,1.744575
-1.124242,1.814529,4.443522,1.904002
-1.081818,1.958604,4.468746,2.062570
-1.039394,2.104102,4.491810,2.219861
-0.996970,2.250782,4.512777,2.375470
-0.954545,2.398373,4.531710,2.529014
-0.912121,2.546567,4.548671,2.680124
-0.869697,2.695027,4.563721,2.828449
-0.827273,2.843378,4.576923,2.973656
-0.784849,2.991211,4.588340,3.115426
-0.742424,3.138085,4.598032,3.253460
-0.700000,3.283527,4.606061,3.387475
-0.657576,3.427035,4.612489,3.517205
-0.615152,3.568081,4.617378,3.642401
-0.572727,3.706114,4.620788,3.762830
-0.530303,3.840568,4.622781,3.878278
-0.487879,3.970864,4.623417,3.988547
-0.445455,4.096423,4.622759,4.093455
-0.403030,4.216666,4.620866,4.192840
-0.360606,4.331031,4.617799,4.286553
-0.318182,4.438973,4.613619,4.374466
-0.275758,4.539979,4.608387,4.456466
-0.233333,4.633576,4.602161,4.532455
-0.190909,4.719338,4.595004,4.602357
-0.148485,4.796898,4.586973,4.666108
-0.106061,4.865948,4.578131,4.723665
-0.063636,4.926257,4.568536,4.774999
-0.021212,4.977664,4.558248,4.820099
0.021212,5.020088,4.547326,4.858973
0.063636,5.053529,4.535830,4.891642
0.106061,5.078069,4.523821,4.918148
0.148485,5.093867,4.511355,4.938548
0.190909,5.101157,4.498494,4.952916
0.233333,5.100244,4.485294,4.961344
0.275758,5.091495,4.471816,4.963940
0.318182,5.075337,4.458118,4.960830
0.360606,5.052243,4.444259,4.952154
0.403030,5.022727,4.430296,4.938075
0.445455,4.987332,4.416289,4.918767
0.487879,4.946621,4.402296,4.894426
0.530303,4.901174,4.388374,4.865259
0.572727,4.851568,4.374581,4.831496
0.615152,4.798384,4.360977,4.793381
0.657576,4.742187,4.347616,4.751176
0.700000,4.683527,4.334558,4.705159
0.742424,4.622933,4.321861,4.655625
0.784849,4.560908,4.309581,4.602889
0.827273,4.497923,4.297775,4.547277
0.869697,4.434421,4.286501,4.489140
0.912121,4.370810,4.275816,4.428838
0.954545,4.307464,4.265776,4.366753
0.996970,4.244721,4.256437,4.303284
1.039394,4.182890,4.247858,4.238844
1.081818,4.122240,4.240094,4.173866
1.124242,4.063014,4.233201,4.108798
1.166667,4.005419,4.227236,4.044106
1.209091,3.949638,4.222255,3.980273
1.251515,3.895824,4.218313,3.917799
1.293939,3.844105,4.215466,3.857200
1.336364,3.794586,4.213771,3.799011
1.378788,3.747350,4.213283,3.743783
1.421212,3.702463,4.214057,3.692083
1.463636,3.659972,4.216148,3.644497
1.506061,3.619906,4.219612,3.601625
1.548485,3.582284,4.224504,3.564089
1.590909,3.547110,4.230878,3.532523
1.633333,3.514379,4.238791,3.507580
1.675758,3.484073,4.248296,3.489930
1.718182,3.456171,4.259447,3.480262
1.760606,3.430640,4.272300,3.479277
1.803030,3.407444,4.286909,3.487699
1.845454,3.386541,4.303328,3.506265
1.887879,3.367884,4.321610,3.535730
1.930303,3.351423,4.341812,3.576866
1.972727,3.337107,4.363984,3.630463
2.015152,3.324881,4.388182,3.697326
2.057576,3.314689,4.414460,3.778280
2.100000,3.306473,4.442870,3.874164
