#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,1.528591,-0.588168
-2.057576,-0.800463,1.529090,-0.584298
-2.015152,-0.705422,1.535671,-0.566124
-1.972727,-0.608347,1.548022,-0.534465
-1.930303,-0.509183,1.565833,-0.490120
-1.887879,-0.407874,1.588804,-0.433877
-1.845454,-0.304368,1.616638,-0.366501
-1.803030,-0.198617,1.649043,-0.288745
-1.760606,-0.090572,1.685736,-0.201345
-1.718182,0.019807,1.726435,-0.105017
-1.675758,0.132558,1.770867,-0.000465
-1.633333,0.247712,1.818763,0.111627
-1.590909,0.365292,1.869861,0.230589
-1.548485,0.485314,1.923904,0.355770
-1.506061,0.607785,1.980638,0.486533
-1.463636,0.732699,2.039820,0.622261
-1.421212,0.860039,2.101207,0.762348
-1.378788,0.989775,2.164567,0.906210
-1.336364,1.121859,2.229668,1.053278
-1.293939,1.256226,2.296288,1.202997
-1.251515,1.392794,2.364208,1.354832
-1.209091,1.531457,2.433217,1.508263
-1.166667,1.672086,2.503107,1.662786
-1.124242,1.814529,2.573678,1.817914
-1.081818,1.958604,2.644733,1.973177
-1.039394,2.104102,2.716084,2.128122
-0.996970,2.250782,2.787544,2.282311
-0.954545,2.398373,2.858937,2.435323
-0.912121,2.546567,2.930089,2.586755
-0.869697,2.695027,3.000832,2.736217
-0.827273,2.843378,3.071004,2.883341
-0.784849,2.991211,3.140449,3.027770
-0.742424,3.138085,3.209016,3.169168
-0.700000,3.283527,3.276562,3.307212
-0.657576,3.427035,3.342945,3.441598
-0.615152,3.568081,3.408032,3.572038
-0.572727,3.706114,3.471695,3.698258
-0.530303,3.840568,3.533811,3.820006
-0.487879,3.970864,3.594264,3.937041
-0.445455,4.096423,3.652941,4.049141
-0.403030,4.216666,3.709738,4.156101
-0.360606,4.331031,3.764552,4.257731
-0.318182,4.438973,3.817292,4.353861
-0.275758,4.539979,3.867867,4.444331
-0.233333,4.633576,3.916194,4.529005
-0.190909,4.719338,3.962195,4.607759
-0.148485,4.796898,4.005799,4.680485
-0.106061,4.865948,4.046938,4.747094
-0.063636,4.926257,4.085551,4.807514
-0.021212,4.977664,4.121584,4.861688
0.021212,5.020088,4.154987,4.909575
0.063636,5.053529,4.185716,4.951150
0.106061,5.078069,4.213731,4.986409
0.148485,5.093867,4.239001,5.015359
0.190909,5.101157,4.261497,5.038026
0.233333,5.100244,4.281200,5.054455
0.275758,5.091495,4.298091,5.064702
0.318182,5.075337,4.312161,5.068843
0.360606,5.052243,4.323406,5.066972
0.403030,5.022727,4.331824,5.059196
0.445455,4.987332,4.337425,5.045641
0.487879,4.946621,4.340219,5.026449
0.530303,4.901174,4.340224,5.001778
0.572727,4.851568,4.337462,4.971802
0.615152,4.798384,4.331964,4.936713
0.657576,4.742187,4.323763,4.896719
0.700000,4.683527,4.312900,4.852043
0.742424,4.622933,4.299419,4.802929
0.784849,4.560908,4.283373,4.749632
0.827273,4.497923,4.264818,4.692429
0.869697,4.434421,4.243817,4.631606
0.912121,4.370810,4.220438,4.567473
0.954545,4.307464,4.194755,4.500355
0.996970,4.244721,4.166845,4.430590
1.039394,4.182890,4.136797,4.358535
1.081818,4.122240,4.104699,4.284564
1.124242,4.063014,4.070647,4.209066
1.166667,4.005419,4.034743,4.132449
1.209091,3.949638,3.997095,4.055136
1.251515,3.895824,3.957816,3.977563
1.293939,3.844105,3.917023,3.900191
1.336364,3.794586,3.874843,3.823489
1.378788,3.747350,3.831403,3.747947
1.421212,3.702463,3.786840,3.674072
1.463636,3.659972,3.741295,3.602385
1.506061,3.619906,3.694914,3.533424
1.548485,3.582284,3.647850,3.467746
1.590909,3.547110,3.600260,3.405921
1.633333,3.514379,3.552307,3.348539
1.675758,3.484073,3.504162,3.296206
1.718182,3.456171,3.455998,3.249540
1.760606,3.430640,3.407996,3.209181
1.803030,3.407444,3.360343,3.175784
1.845454,3.386541,3.313228,3.150019
1.887879,3.367884,3.266850,3.132574
1.930303,3.351423,3.221410,3.124154
1.972727,3.337107,3.177119,3.125478
2.015152,3.324881,3.134188,3.137285
2.057576,3.314689,3.092839,3.160328
2.100000,3.306473,3.053297,3.195377
