#  x , f_star(x) , pred_trained, pred_fixed 
-2.100000,-0.893527,3.293859,-0.828207
-2.057576,-0.800463,3.289853,-0.779933
-2.015152,-0.705422,3.288292,-0.719250
-1.972727,-0.608347,3.289049,-0.646964
-1.930303,-0.509183,3.291997,-0.563863
-1.887879,-0.407874,3.297013,-0.470719
-1.845454,-0.304368,3.303976,-0.368289
-1.803030,-0.198617,3.312766,-0.257308
-1.760606,-0.090572,3.323267,-0.138493
-1.718182,0.019807,3.335367,-0.012547
-1.675758,0.132558,3.348953,0.119846
-1.633333,0.247712,3.363916,0.258023
-1.590909,0.365292,3.380150,0.401333
-1.548485,0.485314,3.397549,0.549145
-1.506061,0.607785,3.416014,0.700850
-1.463636,0.732699,3.435442,0.855849
-1.421212,0.860039,3.455739,1.013566
-1.378788,0.989775,3.476808,1.173441
-1.336364,1.121859,3.498559,1.334934
-1.293939,1.256226,3.520900,1.497516
-1.251515,1.392794,3.543746,1.660684
-1.209091,1.531457,3.567009,1.823948
-1.166667,1.672086,3.590609,1.986835
-1.124242,1.814529,3.614464,2.148892
-1.081818,1.958604,3.638497,2.309684
-1.039394,2.104102,3.662633,2.468790
-0.996970,2.250782,3.686798,2.625812
-0.954545,2.398373,3.710922,2.780365
-0.912121,2.546567,3.734937,2.932083
-0.869697,2.695027,3.758776,3.080620
-0.827273,2.843378,3.782377,3.225645
-0.784849,2.991211,3.805679,3.366846
-0.742424,3.138085,3.828622,3.503926
-0.700000,3.283527,3.851152,3.636611
-0.657576,3.427035,3.873213,3.764639
-0.615152,3.568081,3.894755,3.887768
-0.572727,3.706114,3.915729,4.005776
-0.530303,3.840568,3.936088,4.118455
-0.487879,3.970864,3.955788,4.225617
-0.445455,4.096423,3.974787,4.327089
-0.403030,4.216666,3.993046,4.422719
-0.360606,4.331031,4.010529,4.512372
-0.318182,4.438973,4.027199,4.595927
-0.275758,4.539979,4.043026,4.673285
-0.233333,4.633576,4.057981,4.744364
-0.190909,4.719338,4.072034,4.809098
-0.148485,4.796898,4.085162,4.867439
-0.106061,4.865948,4.097342,4.919358
-0.063636,4.926257,4.108554,4.964842
-0.021212,4.977664,4.118780,5.003896
0.021212,5.020088,4.128006,5.036545
0.063636,5.053529,4.136217,5.062829
0.106061,5.078069,4.143404,5.082805
0.148485,5.093867,4.149559,5.096550
0.190909,5.101157,4.154675,5.104158
0.233333,5.100244,4.158751,5.105742
0.275758,5.091495,4.161785,5.101428
0.318182,5.075337,4.163777,5.091365
0.360606,5.052243,4.164733,5.075716
0.403030,5.022727,4.164660,5.054665
0.445455,4.987332,4.163564,5.028409
0.487879,4.946621,4.161458,4.997168
0.530303,4.901174,4.158357,4.961175
0.572727,4.851568,4.154274,4.920685
0.615152,4.798384,4.149230,4.875968
0.657576,4.742187,4.143243,4.827310
0.700000,4.683527,4.136339,4.775018
0.742424,4.622933,4.128542,4.719416
0.784849,4.560908,4.119880,4.660845
0.827273,4.497923,4.110385,4.599664
0.869697,4.434421,4.100088,4.536247
0.912121,4.370810,4.089025,4.470991
0.954545,4.307464,4.077234,4.404306
0.996970,4.244721,4.064754,4.336622
1.039394,4.182890,4.051629,4.268386
1.081818,4.122240,4.037903,4.200064
1.124242,4.063014,4.023623,4.132136
1.166667,4.005419,4.008840,4.065104
1.209091,3.949638,3.993603,3.999484
1.251515,3.895824,3.977970,3.935813
1.293939,3.844105,3.961997,3.874643
1.336364,3.794586,3.945742,3.816546
1.378788,3.747350,3.929267,3.762109
1.421212,3.702463,3.912637,3.711939
1.463636,3.659972,3.895919,3.666660
1.506061,3.619906,3.879180,3.626912
1.548485,3.582284,3.862493,3.593354
1.590909,3.547110,3.845930,3.566665
1.633333,3.514379,3.829569,3.547537
1.675758,3.484073,3.813487,3.536683
1.718182,3.456171,3.797767,3.534833
1.760606,3.430640,3.782491,3.542734
1.803030,3.407444,3.767744,3.561151
1.845454,3.386541,3.753615,3.590866
1.887879,3.367884,3.740196,3.632681
1.930303,3.351423,3.727577,3.687413
1.972727,3.337107,3.715856,3.755897
2.015152,3.324881,3.705129,3.838988
2.057576,3.314689,3.695497,3.937556
2.100000,3.306473,3.687063,4.052491
